#JD      =     2455808.62793044                                                 
Wave   Flux
4866.3674  100016.4
4867.8437  109492.3
4869.3200  118217.7
4870.7964  125493.2
4872.2727  131203.5
4873.7490  137147.5
4875.2253  142100.2
4876.7016  146401.8
4878.1780  150436.8
4879.6543  154180.4
4881.1306  157802.2
4882.6069  159824.1
4884.0833  161282.2
4885.5596  163457.5
4887.0359  164988.2
4888.5122  166572.8
4889.9885  167557.8
4891.4649  168905.
4892.9412  170875.4
4894.4175  172367.5
4895.8938  173682.7
4897.3702  174979.5
4898.8465  175691.1
4900.3228  175114.8
4901.7991  175575.9
4903.2754  175868.4
4904.7518  176295.9
4906.2281  176756.1
4907.7044  177158.
4909.1807  177810.3
4910.6571  177134.4
4912.1334  176626.7
4913.6097  177465.
4915.0860  177778.7
4916.5623  177595.
4918.0387  175883.3
4919.5150  175000.
4920.9913  174080.3
4922.4676  173358.2
4923.9439  173634.4
4925.4203  174861.2
4926.8966  176655.3
4928.3729  178745.2
4929.8492  179084.6
4931.3256  178388.6
4932.8019  177833.
4934.2782  176884.1
4935.7545  177644.4
4937.2308  178495.1
4938.7072  178246.5
4940.1835  178170.2
4941.6598  178122.3
4943.1361  178831.9
4944.6125  178890.
4946.0888  179064.7
4947.5651  179285.9
4949.0414  178909.
4950.5177  178960.1
4951.9941  178664.8
4953.4704  178500.7
4954.9467  178126.2
4956.4230  176997.7
4957.8994  176092.2
4959.3757  176439.6
4960.8520  177777.3
4962.3283  178911.3
4963.8046  178741.1
4965.2810  177600.4
4966.7573  177238.1
4968.2336  177255.1
4969.7099  177660.1
4971.1862  178045.9
4972.6626  178090.6
4974.1389  178757.1
4975.6152  179110.7
4977.0915  178408.7
4978.5679  177712.1
4980.0442  176895.9
4981.5205  175362.3
4982.9968  174240.5
4984.4731  173736.7
4985.9495  174675.9
4987.4258  176207.9
4988.9021  176369.6
4990.3784  176352.2
4991.8548  176186.
4993.3311  175851.2
4994.8074  175916.7
4996.2837  176244.9
4997.7600  176240.4
4999.2364  175895.1
5000.7127  174914.1
5002.1890  173330.1
5003.6653  173019.4
5005.1417  172715.4
5006.6180  172601.
5008.0943  173599.2
5009.5706  174185.9
5011.0469  174369.3
5012.5233  173933.9
5013.9996  172968.9
5015.4759  171801.9
5016.9522  170092.6
5018.4285  168356.3
5019.9049  168066.8
5021.3812  170004.4
5022.8575  171395.9
5024.3338  173015.9
5025.8102  173214.4
5027.2865  173015.5
5028.7628  172934.9
5030.2391  172183.2
